Date,Repo_Rate,Interest_Rate,Market_Rate,Deposits,Withdrawals,Loans_Given,Loan_Repayment,HQLA,ASF,RSF,Total_Deposits_Pool,Total_Loans_Pool,LCR,NSFR,Net_Cash_Flow,Cumulative_Net_Cash_Flow,NLP,Predicted_Survival_Days
2026-01-01,5.006018926228598,6.951760091232506,5.490561867649411,168.04912168561702,327.63066978267767,1.0495811934290051,129.66504530262375,19956.50840610001,104856.37660671264,59390.676855507176,99840.41845190294,69871.3845358908,1.998840621417652,1.7655359756518674,-30.966083987865886,-30.966083987865886,19925.542322112142,
2026-01-02,5.004447846409728,6.9525596538550785,5.384786016315666,213.78168816075535,360.1233283616459,1.2792878001963777,152.46602347546334,19977.80348242205,104724.66913053185,59262.16813018321,99694.07681170205,69720.19780021554,2.003910775978725,1.767142047528191,4.845095474376421,-26.120988513489465,19930.38741758652,
2026-01-03,5.050381051486593,7.142571296931997,5.374366464688686,460.8292876637583,349.29338562556546,1.5564603205118297,148.34188863762134,20108.90635612839,104825.05144236621,59137.40051611367,99805.61271374024,69573.41237189843,2.01480716458344,1.7725677917446447,258.3213303553024,232.20034184181293,20188.708747941822,
2026-01-04,5.0562568247238575,7.103185436973432,5.306206677317724,379.99363500087065,306.83401049428664,2.0647911711522955,160.89477656464825,20226.576752826568,104890.89510442215,59002.39502852919,99878.77233824682,69414.58238650493,2.025112672022817,1.777739616395312,231.98960990007998,464.1899517418929,20420.698357841902,
2026-01-05,5.0875476594169475,6.968798869180187,5.680747394025023,350.52216281402127,289.86768054421776,1.6573764301146838,158.6597442452794,20302.124299996176,104945.48413846496,58868.9430158863,99939.42682051663,69257.58001868977,2.0314429395775098,1.7826969325769022,217.6568500849682,681.8468018268611,20638.35520792687,
2026-01-06,5.009164184918344,7.049450226226958,5.283525967351768,444.4693890461425,135.49888568069548,1.7159115629615933,143.3210158670156,20544.819584041586,105223.55759149387,58748.57867722786,100248.39732388208,69115.97491438572,2.049391325196499,1.7910826093275454,450.57560766950104,1132.4224094963622,21088.93081559637,
2026-01-07,4.974766540359822,7.099332083346637,5.435639737633018,419.8757521131517,217.55676922651307,2.837552860394949,154.62460844161276,20714.08543460123,105405.64467609185,58619.55967998383,100450.71630676872,68964.18785880451,2.0621142582340592,1.7981309523906837,354.1060384678565,1486.5284479642187,21443.036854064227,
2026-01-08,4.9024043645137585,6.683368804086467,5.529271102835285,305.45568663676056,169.90687593911227,1.3249921899938406,163.84903882556807,20858.40104425582,105527.63860571974,58481.41424034359,100586.26511746638,68801.66381216893,2.0736828253735258,1.8044645461552664,298.0728573332225,1784.6013052974413,21741.10971139745,
2026-01-09,4.909410214545986,6.973246267054841,5.7141379053853765,333.28308230867054,123.5395797590668,1.5696380913656711,132.77633945592095,21033.012332633207,105716.4077580144,58369.88854418372,100796.00862001599,68670.45711080437,2.0866909930852646,1.8111463015385272,340.95020391415903,2125.5515092116,22082.05991531161,
2026-01-10,4.901667824919798,6.967198271870007,5.757336839801564,198.98020693199877,177.71535521848455,1.7024558824719158,164.5377738044799,21083.940453585154,105735.54612455655,58231.478523950005,100817.2734717295,68507.62179288236,2.091302385746166,1.8157798634817184,184.10016963552218,2309.651678847122,22266.160084947132,
2026-01-11,4.954433945423912,7.030758980521112,5.514080211969064,317.85935605367166,391.7261567838247,2.589196574938764,166.68935243195173,21122.89217553238,105669.06600389941,58091.993391471544,100743.40667099933,68343.52163702535,2.09670219357521,1.8189953526265572,90.23335512685992,2399.885033973982,22356.39344007399,
2026-01-12,4.936234958713247,6.8469100457948375,5.4347719776622725,256.6312257120308,353.78191854964945,1.4057443420560243,116.25239136494582,21111.47843331505,105581.63038034555,57994.37374150209,100646.25597816172,68228.67499000246,2.097592029443781,1.8205495390113842,17.695954185271148,2417.580988159253,22374.089394259263,
2026-01-13,4.977383126499262,6.971613932234204,5.839695077192155,275.16338246387147,121.3452646501771,2.9079154542477292,138.95867071804685,21284.439794559712,105720.06668637786,57878.73059952786,100800.0740959754,68092.62423473866,2.111550014764277,1.8265788760619477,289.8688730774935,2707.4498612367465,22663.958267336755,
2026-01-14,4.963752068703074,6.978415179695918,5.082737290261816,375.1422433888083,151.98799657061195,2.9072470827012045,135.69485698794477,21448.747071903406,105920.90550851425,57765.8611311084,101023.2283427936,67959.83662483342,2.12315003427956,1.8336246259379854,355.9418567234399,3063.3917179601863,23019.900124060194,
2026-01-15,4.938463554620424,6.871374371393357,4.896071271908433,202.42217407570246,308.56993354888016,1.4113888157694998,157.72351463752116,21472.81455721408,105825.37252498839,57632.99582415991,100917.08058332042,67803.52449901166,2.1277681075489916,1.836194197640965,50.16436634857399,3113.55608430876,23070.064490408768,999.0
